[decomposer] subagent file-map failed (attempt 1/2), retrying…
[decomposer] subagent audit-security failed (attempt 1/2), retrying…
[decomposer] subagent audit-reliability failed (attempt 1/2), retrying…
[decomposer] subagent audit-performance failed (attempt 1/2), retrying…
[decomposer] subagent audit-code_quality failed (attempt 1/2), retrying…
[decomposer] subagent audit-architecture failed (attempt 1/2), retrying…
[decomposer] subagent synthesis failed (attempt 1/2), retrying…
[decomposer] subagent decomp-01 failed (attempt 1/2), retrying…
[decomposer] subagent decomp-03 failed (attempt 1/2), retrying…
[decomposer] subagent decomp-02 failed (attempt 1/2), retrying…
[decomposer] subagent decomp-04 failed (attempt 1/2), retrying…
[decomposer] subagent decomp-05 failed (attempt 1/2), retrying…
[decomposer] subagent decomp-06 failed (attempt 1/2), retrying…
[decomposer] subagent decomp-07 failed (attempt 1/2), retrying…
[decomposer] subagent decomp-08 failed (attempt 1/2), retrying…
[decomposer] subagent decomp-09 failed (attempt 1/2), retrying…
[decomposer] subagent decomp-10 failed (attempt 1/2), retrying…
[decomposer] subagent decomp-11 failed (attempt 1/2), retrying…
[decomposer] subagent decomp-12 failed (attempt 1/2), retrying…
[decomposer] subagent decomp-13 failed (attempt 1/2), retrying…
[decomposer] subagent decomp-14 failed (attempt 1/2), retrying…
[decomposer] subagent overlap-validator failed (attempt 1/2), retrying…
[decomposer] subagent gap-scan failed (attempt 1/2), retrying…
[decomposer] subagent research-tech-stack failed (attempt 1/2), retrying…
[decomposer] subagent research-api-contracts failed (attempt 1/2), retrying…
[decomposer] subagent research-testing failed (attempt 1/2), retrying…
[decomposer] subagent research-db-schemas failed (attempt 1/2), retrying…
[decomposer] subagent research-shared-types failed (attempt 1/2), retrying…
[decomposer] subagent research-business-logic failed (attempt 1/2), retrying…
[decomposer] subagent validation-gate failed (attempt 1/2), retrying…
[decomposer] subagent spec-03 failed (attempt 1/2), retrying…
[decomposer] subagent spec-01 failed (attempt 1/2), retrying…
[decomposer] subagent spec-02 failed (attempt 1/2), retrying…
[decomposer] subagent spec-04 failed (attempt 1/2), retrying…
[decomposer] subagent spec-05 failed (attempt 1/2), retrying…
[decomposer] subagent spec-06 failed (attempt 1/2), retrying…
[decomposer] subagent spec-07 failed (attempt 1/2), retrying…
[decomposer] subagent spec-08 failed (attempt 1/2), retrying…
[decomposer] subagent spec-09 failed (attempt 1/2), retrying…
[decomposer] subagent spec-10 failed (attempt 1/2), retrying…
[decomposer] subagent spec-11 failed (attempt 1/2), retrying…
[decomposer] subagent spec-12 failed (attempt 1/2), retrying…
[decomposer] subagent spec-13 failed (attempt 1/2), retrying…
[decomposer] subagent spec-14 failed (attempt 1/2), retrying…
[decomposer] subagent spec-validator failed (attempt 1/2), retrying…
